#Year,Month,Port1,Port2,Route,$Value,$Real
2014,3,Adelaide,Brisbane,Adelaide - Brisbane,310,394.4117647
2021,7,Karratha,Perth,Karratha - Perth,538.01,602.7330075
2020,1,Adelaide,Alice Springs,Adelaide - Alice Springs,458,526.7392796
2022,7,Sydney,Tamworth,Sydney - Tamworth,336,350.9158879
2011,9,Alice Springs,Melbourne,Alice Springs - Melbourne,748,1005.078156
2010,2,Perth,Newman,Perth - Newman,358,504.2836134
2018,5,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,234,277.6938053
2015,3,Darwin,Melbourne,Darwin - Melbourne,508,637.8539326
2011,1,Gold Coast,Sydney,Gold Coast - Sydney,65.96,89.98205493
2023,4,Darwin,Perth,Darwin - Perth,1099,1099
2010,5,Perth,Port Hedland,Perth - Port Hedland,368,515.1231733
2019,3,Karratha,Perth,Karratha - Perth,728.01,855.6191148
2019,2,Perth,Sydney,Perth - Sydney,394.9,464.1199825
2016,4,Geraldton,Perth,Geraldton - Perth,298,367.9723757
2016,7,Brisbane,Canberra,Brisbane - Canberra,390,478.0530165
2020,1,Brisbane,Townsville,Brisbane - Townsville,209,240.3679245
2010,8,Darwin,Sydney,Darwin - Sydney,438,608.6611399
2018,10,Cairns,Gold Coast,Cairns - Gold Coast,310,364.3382997
2017,5,Melbourne,Mildura,Melbourne - Mildura,240.01,290.7438211
2016,10,Adelaide,Canberra,Adelaide - Canberra,438,533.9618182
2010,2,Bundaberg,Brisbane,Bundaberg - Brisbane,274,385.960084
2014,4,Paraburdoo,Perth,Paraburdoo - Perth,598,757.2407932
2023,4,Ballina,Sydney,Ballina - Sydney,95,95
2016,7,Karratha,Perth,Karratha - Perth,638,782.0457038
2010,1,Brisbane,Proserpine,Brisbane - Proserpine,128,180.302521
2022,10,Adelaide,Melbourne,Adelaide - Melbourne,248,254.2568807
2016,6,Perth,Port Hedland,Perth - Port Hedland,615,759.4060773
2021,7,Launceston,Sydney,Launceston - Sydney,98,109.7894737
