#Year,Month,Port1,Port2,Route,$Value,$Real
2020,3,Brisbane,Cairns,Brisbane - Cairns,212,243.8181818
2012,1,Brisbane,Sydney,Brisbane - Sydney,168,225.5135135
2017,5,Brisbane,Hobart,Brisbane - Hobart,294,356.1463415
2011,8,Perth,Newman,Perth - Newman,568,763.2144289
2012,5,Brisbane,Perth,Brisbane - Perth,318,424.7390438
2018,8,Brisbane,Emerald,Brisbane - Emerald,344.19,406.6597269
2017,3,Brisbane,Moranbah,Brisbane - Moranbah,521,632.2723982
2018,2,Brisbane,Moranbah,Brisbane - Moranbah,706,840.8046181
2018,11,Melbourne,Townsville,Melbourne - Townsville,397,466.5880806
2012,6,Brisbane,Emerald,Brisbane - Emerald,292.5,390.6797809
2016,2,Hobart,Melbourne,Hobart - Melbourne,118,146.245841
2015,9,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,424,526.4666667
2016,9,Brisbane,Canberra,Brisbane - Canberra,438,536.8903108
2011,3,Avalon,Sydney,Avalon - Sydney,48.9,66.70895219
2018,10,Ballina,Sydney,Ballina - Sydney,251,294.9964943
2013,6,Melbourne,Gold Coast,Melbourne - Gold Coast,179.9,234.675
2019,10,Adelaide,Canberra,Adelaide - Canberra,536,618.5679862
2015,2,Sydney,Townsville,Sydney - Townsville,350,439.4662921
2016,6,Launceston,Melbourne,Launceston - Melbourne,120,148.1767956
2012,6,Brisbane,Gladstone,Brisbane - Gladstone,209,279.1523904
2019,9,Avalon,Sydney,Avalon - Sydney,136,158.0381282
2023,5,Dubbo,Sydney,Dubbo - Sydney,408,408
2018,5,Karratha,Perth,Karratha - Perth,649.99,771.3598142
2021,8,Armidale,Sydney,Armidale - Sydney,257.95,288.9815789
2020,9,Sydney,Tamworth,Sydney - Tamworth,294,339.2891566
2023,5,Launceston,Melbourne,Launceston - Melbourne,154,154
2022,9,Adelaide,Brisbane,Adelaide - Brisbane,879,918.021028
2011,12,Adelaide,Alice Springs,Adelaide - Alice Springs,499,670.5
2015,5,Brisbane,Proserpine,Brisbane - Proserpine,160,199.5906977
2015,2,Karratha,Perth,Karratha - Perth,618,775.9719101
2017,2,Adelaide,Brisbane,Adelaide - Brisbane,170,206.3076923
2021,12,Brisbane,Hamilton Island,Brisbane - Hamilton Island,230.01,254.2814592
2016,6,Darwin,Melbourne,Darwin - Melbourne,567,700.1353591
2012,10,Cairns,Townsville,Cairns - Townsville,184,241.9058824
2023,4,Devonport,Melbourne,Devonport - Melbourne,451,451
2010,10,Albury,Sydney,Albury - Sydney,150,207.5851393
2013,2,Avalon,Sydney,Avalon - Sydney,84,110.0039063
2017,3,Brisbane,Rockhampton,Brisbane - Rockhampton,246,298.5393665
2013,12,Avalon,Brisbane,Avalon - Brisbane,298,381.3148855
2021,3,Adelaide,Canberra,Adelaide - Canberra,521,592.5877863
2014,9,Brisbane,Hamilton Island,Brisbane - Hamilton Island,400,504.1353383
2021,2,Avalon,Gold Coast,Avalon - Gold Coast,198,225.2061069
2015,3,Canberra,Melbourne,Canberra - Melbourne,338,424.3988764
2023,2,Cairns,Townsville,Cairns - Townsville,338.01,341.8336425
2017,7,Bundaberg,Brisbane,Bundaberg - Brisbane,244,293.7199282
2016,11,Sunshine Coast,Sydney,Sunshine Coast - Sydney,168,204.8072727
2016,3,Cairns,Gold Coast,Cairns - Gold Coast,250,309.8428835
2021,12,Hamilton Island,Sydney,Hamilton Island - Sydney,234,258.6924979
2023,4,Melbourne,Gold Coast,Melbourne - Gold Coast,178,178
2023,1,Albury,Sydney,Albury - Sydney,384,388.3438914
2017,5,Karratha,Perth,Karratha - Perth,638,772.8617886
2023,7,Canberra,Sydney,Canberra - Sydney,419,419
2011,5,Gold Coast,Sydney,Gold Coast - Sydney,89.9,121.528125
2015,12,Cairns,Sydney,Cairns - Sydney,294,363.702952
2010,7,Adelaide,Alice Springs,Adelaide - Alice Springs,479,665.6362694
2020,10,Adelaide,Darwin,Adelaide - Darwin,414,473.6979522
2018,1,Newcastle,Gold Coast,Newcastle - Gold Coast,160,190.5506217
2015,11,Brisbane,Mackay,Brisbane - Mackay,168,207.8302583
2017,11,Canberra,Melbourne,Canberra - Melbourne,359,429.4549509
2018,12,Brisbane,Canberra,Brisbane - Canberra,498.01,585.3036021
2022,1,Brisbane,Perth,Brisbane - Perth,474,513.0217918
2014,4,Darwin,Melbourne,Darwin - Melbourne,528,668.6005666
2020,10,Brisbane,Mount Isa,Brisbane - Mount Isa,768,878.7440273
2015,4,Cairns,Melbourne,Cairns - Melbourne,178,222.0446512
2019,9,Brisbane,Rockhampton,Brisbane - Rockhampton,300,348.6135182
2015,7,Darwin,Sydney,Darwin - Sydney,400,496.6666667
2017,1,Adelaide,Melbourne,Adelaide - Melbourne,114,138.3475113
2023,6,Perth,Sydney,Perth - Sydney,598,598
2021,6,Melbourne,Mildura,Melbourne - Mildura,297,335.25
2023,6,Gold Coast,Sydney,Gold Coast - Sydney,118,118
2014,5,Adelaide,Perth,Adelaide - Perth,278,352.0283286
2017,8,Adelaide,Melbourne,Adelaide - Melbourne,90,108.3393178
2018,8,Sydney,Tamworth,Sydney - Tamworth,280,330.8193833
2011,9,Adelaide,Melbourne,Adelaide - Melbourne,268,360.1082164
2017,3,Hobart,Melbourne,Hobart - Melbourne,214,259.7049774
2013,4,Cairns,Sydney,Cairns - Sydney,318,414.8229572
2021,10,Cairns,Townsville,Cairns - Townsville,320,353.7675185
2018,7,Adelaide,Perth,Adelaide - Perth,389,459.6026432
2022,12,Adelaide,Brisbane,Adelaide - Brisbane,958,982.1697248
2011,4,Launceston,Sydney,Launceston - Sydney,318,429.8770161
2020,3,Melbourne,Sydney,Melbourne - Sydney,188,216.2161235
2023,1,Ballina,Sydney,Ballina - Sydney,101,102.1425339
2022,8,Cairns,Sydney,Cairns - Sydney,329,343.6051402
2018,2,Hobart,Melbourne,Hobart - Melbourne,110,131.0035524
2016,6,Brisbane,Hamilton Island,Brisbane - Hamilton Island,264,325.9889503
2017,8,Hobart,Melbourne,Hobart - Melbourne,104,125.1921005
2019,4,Sydney,Tamworth,Sydney - Tamworth,286,334.0818815
2020,8,Brisbane,Cairns,Brisbane - Cairns,250,288.5111876
2019,9,Ballina,Sydney,Ballina - Sydney,117,135.9592721
2014,7,Adelaide,Brisbane,Adelaide - Brisbane,178,224.3402256
2015,1,Adelaide,Canberra,Adelaide - Canberra,410,514.8033708
2019,1,Melbourne,Perth,Melbourne - Perth,359.9,422.9850131
2015,5,Darwin,Perth,Darwin - Perth,610,760.9395349
2015,7,Broome,Perth,Broome - Perth,680,844.3333333
2019,4,Bundaberg,Brisbane,Bundaberg - Brisbane,318,371.4616725
2015,12,Alice Springs,Sydney,Alice Springs - Sydney,758,937.7103321
2013,7,Darwin,Perth,Darwin - Perth,558,719.4980769
2019,9,Hobart,Sydney,Hobart - Sydney,188,218.4644714
2010,10,Canberra,Sydney,Canberra - Sydney,158,218.6563467
2021,10,Perth,Newman,Perth - Newman,638,705.3239901
2019,2,Brisbane,Proserpine,Brisbane - Proserpine,141,165.7151621
2023,7,Coffs Harbour,Sydney,Coffs Harbour - Sydney,334.01,334.01
2016,5,Coffs Harbour,Sydney,Coffs Harbour - Sydney,140,172.8729282
2011,8,Brisbane,Perth,Brisbane - Perth,166,223.0521042
2010,3,Brisbane,Emerald,Brisbane - Emerald,316,445.1218487
2011,11,Adelaide,Darwin,Adelaide - Darwin,384,515.9759519
2019,11,Melbourne,Perth,Melbourne - Perth,391.9,452.2701377
2023,6,Karratha,Perth,Karratha - Perth,931,931
2016,11,Hobart,Melbourne,Hobart - Melbourne,108,131.6618182
2011,10,Ballina,Sydney,Ballina - Sydney,224,300.9859719
2017,4,Darwin,Melbourne,Darwin - Melbourne,478,579.0406504
2014,5,Geraldton,Perth,Geraldton - Perth,259,327.9688385
2011,11,Coffs Harbour,Sydney,Coffs Harbour - Sydney,157,210.9589178
2020,7,Melbourne,Sydney,Melbourne - Sydney,175,201.9578313
2020,1,Devonport,Melbourne,Devonport - Melbourne,379,435.8825043
2023,1,Brisbane,Gladstone,Brisbane - Gladstone,413.99,418.6731448
2013,3,Perth,Sydney,Perth - Sydney,548,717.6445313
2016,3,Adelaide,Darwin,Adelaide - Darwin,487,603.5739372
2017,1,Hobart,Melbourne,Hobart - Melbourne,154,186.8904977
2013,10,Brisbane,Townsville,Brisbane - Townsville,258,330.1316794
2016,11,Brisbane,Roma,Brisbane - Roma,495,603.45
2013,5,Adelaide,Melbourne,Adelaide - Melbourne,99.9,130.3170233
2021,12,Kalgoorlie,Perth,Kalgoorlie - Perth,414,457.6867271
2010,3,Adelaide,Gold Coast,Adelaide - Gold Coast,156,219.7436975
2015,10,Adelaide,Sydney,Adelaide - Sydney,148,183.0885609
2022,10,Sydney,Tamworth,Sydney - Tamworth,356,364.9816514
2011,1,Brisbane,Hamilton Island,Brisbane - Hamilton Island,102,139.1475076
2021,5,Broome,Perth,Broome - Perth,910,1027.19697
2016,11,Adelaide,Port Lincoln,Adelaide - Port Lincoln,259.06,315.8176909
2010,12,Dubbo,Sydney,Dubbo - Sydney,286.82,396.9304644
2013,8,Melbourne,Newcastle,Melbourne - Newcastle,168,216.6230769
2019,10,Brisbane,Sydney,Brisbane - Sydney,129.9,149.9104131
2019,6,Albury,Sydney,Albury - Sydney,308.01,359.792169
2011,12,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.91,287.4281663
2021,8,Darwin,Perth,Darwin - Perth,634.01,710.2818797
2012,12,Brisbane,Canberra,Brisbane - Canberra,338,444.3705882
2021,1,Brisbane,Sydney,Brisbane - Sydney,177,201.3206107
2023,7,Canberra,Melbourne,Canberra - Melbourne,166,166
2013,7,Sydney,Townsville,Sydney - Townsville,354,456.4557692
2017,3,Brisbane,Hamilton Island,Brisbane - Hamilton Island,340,412.6153846
2011,12,Melbourne,Gold Coast,Melbourne - Gold Coast,259.9,349.2243487
2015,12,Melbourne,Perth,Melbourne - Perth,280,346.3837638
2021,12,Adelaide,Canberra,Adelaide - Canberra,394.01,435.5873124
2017,6,Sydney,Tamworth,Sydney - Tamworth,239,289.5203252
2012,12,Devonport,Melbourne,Devonport - Melbourne,522,686.2764706
2018,7,Cairns,Melbourne,Cairns - Melbourne,422,498.5920705
2012,1,Brisbane,Cairns,Brisbane - Cairns,208,279.2072072
2011,9,Brisbane,Mount Isa,Brisbane - Mount Isa,729,979.5480962
2020,11,Port Macquarie,Sydney,Port Macquarie - Sydney,332,379.8737201
2010,11,Albury,Sydney,Albury - Sydney,77.9,107.8058824
2013,12,Broome,Perth,Broome - Perth,473.01,605.254208
2012,12,Brisbane,Newcastle,Brisbane - Newcastle,168,220.8705882
2018,9,Brisbane,Rockhampton,Brisbane - Rockhampton,364.99,431.2348811
2019,6,Brisbane,Gladstone,Brisbane - Gladstone,271.06,316.6301916
2021,11,Brisbane,Darwin,Brisbane - Darwin,304,336.0791426
2018,5,Adelaide,Alice Springs,Adelaide - Alice Springs,458,543.520354
2020,1,Kalgoorlie,Perth,Kalgoorlie - Perth,378,434.7324185
2010,11,Ballina,Sydney,Ballina - Sydney,168,232.495356
2017,2,Adelaide,Sydney,Adelaide - Sydney,158,191.7447964
2017,3,Darwin,Melbourne,Darwin - Melbourne,683,828.8714932
2021,3,Launceston,Sydney,Launceston - Sydney,191,217.2442748
2011,1,Sunshine Coast,Sydney,Sunshine Coast - Sydney,118,160.9745677
2012,2,Darwin,Melbourne,Darwin - Melbourne,378,507.4054054
2013,11,Coffs Harbour,Sydney,Coffs Harbour - Sydney,119.9,153.4216603
2017,6,Avalon,Sydney,Avalon - Sydney,108,130.8292683
2019,2,Hamilton Island,Sydney,Hamilton Island - Sydney,258,303.2234882
2016,11,Brisbane,Moranbah,Brisbane - Moranbah,430,524.2090909
2016,8,Darwin,Melbourne,Darwin - Melbourne,394,482.9561243
2011,2,Brisbane,Rockhampton,Brisbane - Rockhampton,198,270.1098678
2013,10,Alice Springs,Darwin,Alice Springs - Darwin,638,816.3721374
2016,7,Melbourne,Sydney,Melbourne - Sydney,124,151.9963437
2013,10,Perth,Sydney,Perth - Sydney,478,611.639313
2014,9,Hobart,Sydney,Hobart - Sydney,168,211.7368421
2016,4,Melbourne,Perth,Melbourne - Perth,340,419.8342541
2011,5,Melbourne,Perth,Melbourne - Perth,269.9,364.8547379
2015,7,Dubbo,Sydney,Dubbo - Sydney,255.2,316.8733333
2017,8,Brisbane,Townsville,Brisbane - Townsville,318,382.7989228
2014,12,Perth,Sydney,Perth - Sydney,634,797.5553471
2020,6,Perth,Sydney,Perth - Sydney,776,909.6293706
2017,5,Cairns,Sydney,Cairns - Sydney,224,271.3495935
2017,11,Port Macquarie,Sydney,Port Macquarie - Sydney,274.02,327.7973417
2012,6,Adelaide,Darwin,Adelaide - Darwin,878,1172.707171
2020,2,Kalgoorlie,Perth,Kalgoorlie - Perth,358,411.7307033
2012,5,Perth,Newman,Perth - Newman,624,833.4501992
2022,9,Kalgoorlie,Perth,Kalgoorlie - Perth,517.99,540.9848832
2020,2,Cairns,Townsville,Cairns - Townsville,238.52,274.3184563
2022,7,Brisbane,Mount Isa,Brisbane - Mount Isa,729,761.3621495
2016,1,Cairns,Sydney,Cairns - Sydney,294,364.3752311
2022,7,Paraburdoo,Perth,Paraburdoo - Perth,772,806.271028
2011,10,Brisbane,Darwin,Brisbane - Darwin,396,532.1002004
2010,4,Brisbane,Mount Isa,Brisbane - Mount Isa,544,761.4864301
2019,1,Gold Coast,Sydney,Gold Coast - Sydney,116,136.3330412
2016,9,Darwin,Melbourne,Darwin - Melbourne,633,775.916819
2022,12,Darwin,Melbourne,Darwin - Melbourne,805,825.309633
2015,3,Sydney,Townsville,Sydney - Townsville,350,439.4662921
2010,8,Canberra,Sydney,Canberra - Sydney,158,219.5626943
2010,9,Brisbane,Darwin,Brisbane - Darwin,358,497.4901554
2019,7,Proserpine,Sydney,Proserpine - Sydney,283.9,329.9045927
2022,2,Darwin,Sydney,Darwin - Sydney,328,355.0024213
2017,1,Ballina,Sydney,Ballina - Sydney,150,182.0361991
2012,4,Bundaberg,Brisbane,Bundaberg - Brisbane,226,301.8585657
2010,5,Hamilton Island,Sydney,Hamilton Island - Sydney,318,445.1336117
2018,3,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,254,302.4991119
2011,8,Dubbo,Sydney,Dubbo - Sydney,298.8,401.4937876
2017,5,Launceston,Sydney,Launceston - Sydney,128,155.0569106
2017,1,Adelaide,Sydney,Adelaide - Sydney,130,157.7647059
2011,5,Brisbane,Emerald,Brisbane - Emerald,384,519.0967742
2013,5,Brisbane,Rockhampton,Brisbane - Rockhampton,153,199.5846304
2015,6,Ayers Rock,Sydney,Ayers Rock - Sydney,534,666.1339535
2015,9,Brisbane,Roma,Brisbane - Roma,330,409.75
2014,11,Brisbane,Perth,Brisbane - Perth,644,810.1350844
2018,2,Brisbane,Newcastle,Brisbane - Newcastle,118,140.5310835
2018,10,Canberra,Melbourne,Canberra - Melbourne,274.9,323.0858019
2018,12,Darwin,Melbourne,Darwin - Melbourne,496,582.9412796
2017,6,Bundaberg,Brisbane,Bundaberg - Brisbane,238,288.3089431
2016,11,Newcastle,Gold Coast,Newcastle - Gold Coast,224,273.0763636
2017,5,Darwin,Melbourne,Darwin - Melbourne,448,542.699187
2016,8,Armidale,Sydney,Armidale - Sydney,238.81,292.7277971
2019,11,Adelaide,Canberra,Adelaide - Canberra,470.02,542.4241136
2017,3,Ayers Rock,Sydney,Ayers Rock - Sydney,634,769.4063348
2021,12,Brisbane,Darwin,Brisbane - Darwin,318,351.5564716
2023,2,Brisbane,Emerald,Brisbane - Emerald,512,517.7918552
2017,6,Adelaide,Alice Springs,Adelaide - Alice Springs,470,569.3495935
2016,2,Brisbane,Newcastle,Brisbane - Newcastle,138,171.0332717
2012,6,Darwin,Sydney,Darwin - Sydney,438,585.0179283
2023,3,Melbourne,Gold Coast,Melbourne - Gold Coast,208,210.3529412
2022,8,Avalon,Sydney,Avalon - Sydney,101,105.4836449
2013,7,Albury,Sydney,Albury - Sydney,174,224.3596154
2021,11,Melbourne,Gold Coast,Melbourne - Gold Coast,188,207.8384171
2019,12,Cairns,Sydney,Cairns - Sydney,340,392.3752151
2015,7,Brisbane,Perth,Brisbane - Perth,598,742.5166667
2021,8,Karratha,Perth,Karratha - Perth,538.01,602.7330075
2021,7,Cairns,Sydney,Cairns - Sydney,298,333.8496241
2010,3,Geraldton,Perth,Geraldton - Perth,444,625.4243697
2019,8,Adelaide,Brisbane,Adelaide - Brisbane,224,260.2980936
2020,12,Devonport,Melbourne,Devonport - Melbourne,436,498.8703072
2012,10,Darwin,Perth,Darwin - Perth,363,477.2382353
2016,11,Broome,Perth,Broome - Perth,518,631.4890909
2016,11,Paraburdoo,Perth,Paraburdoo - Perth,640,780.2181818
2022,1,Brisbane,Townsville,Brisbane - Townsville,204,220.7941889
2017,12,Kalgoorlie,Perth,Kalgoorlie - Perth,478,571.809099
2016,3,Adelaide,Port Lincoln,Adelaide - Port Lincoln,248,307.3641405
2014,2,Brisbane,Newcastle,Brisbane - Newcastle,128,162.8538899
2018,8,Avalon,Sydney,Avalon - Sydney,98,115.7867841
2014,10,Dubbo,Sydney,Dubbo - Sydney,267.7,336.7595685
2015,11,Brisbane,Proserpine,Brisbane - Proserpine,178,220.201107
2020,7,Dubbo,Sydney,Dubbo - Sydney,308.54,356.0689673
2011,7,Melbourne,Sydney,Melbourne - Sydney,148,198.8657315
2015,10,Sydney,Tamworth,Sydney - Tamworth,248,306.797048
2017,11,Melbourne,Gold Coast,Melbourne - Gold Coast,168,200.970562
2022,1,Ballina,Sydney,Ballina - Sydney,90,97.40920097
2015,12,Adelaide,Port Lincoln,Adelaide - Port Lincoln,235.29,291.0736993
2012,6,Melbourne,Newcastle,Melbourne - Newcastle,128,170.9641434
2015,7,Launceston,Sydney,Launceston - Sydney,178,221.0166667
2018,3,Port Macquarie,Sydney,Port Macquarie - Sydney,274.02,326.3417584
2017,10,Broome,Perth,Broome - Perth,524,626.8367529
2011,2,Launceston,Melbourne,Launceston - Melbourne,88,120.0488301
2021,8,Melbourne,Townsville,Melbourne - Townsville,227,254.3082707
2022,8,Adelaide,Canberra,Adelaide - Canberra,510,532.6401869
2017,8,Adelaide,Gold Coast,Adelaide - Gold Coast,300,361.1310592
2014,12,Adelaide,Gold Coast,Adelaide - Gold Coast,364,457.902439
2022,3,Melbourne,Gold Coast,Melbourne - Gold Coast,168,181.8305085
2014,11,Newcastle,Gold Coast,Newcastle - Gold Coast,128,161.0206379
2018,10,Armidale,Sydney,Armidale - Sydney,320,376.0911481
2013,7,Gold Coast,Sydney,Gold Coast - Sydney,98,126.3634615
2017,9,Adelaide,Brisbane,Adelaide - Brisbane,300,361.1310592
2012,8,Hamilton Island,Sydney,Hamilton Island - Sydney,318,418.8978389
2020,1,Port Macquarie,Sydney,Port Macquarie - Sydney,278,319.7238422
2015,6,Alice Springs,Sydney,Alice Springs - Sydney,868,1082.779535
2020,1,Melbourne,Perth,Melbourne - Perth,390,448.5334477
2021,1,Adelaide,Brisbane,Adelaide - Brisbane,257.99,293.4390076
2016,7,Broome,Perth,Broome - Perth,724,887.4625229
2022,12,Cairns,Sydney,Cairns - Sydney,654,670.5
2014,1,Sydney,Townsville,Sydney - Townsville,248,315.5294118
2017,10,Adelaide,Gold Coast,Adelaide - Gold Coast,314,375.6235504
2014,6,Hamilton Island,Sydney,Hamilton Island - Sydney,268,339.3654391
2012,8,Adelaide,Perth,Adelaide - Perth,338,445.2436149
2014,11,Hobart,Sydney,Hobart - Sydney,198,249.0787992
2010,11,Sydney,Townsville,Sydney - Townsville,258,357.0464396
2011,6,Cairns,Townsville,Cairns - Townsville,190,256.8447581
2017,7,Geraldton,Perth,Geraldton - Perth,390,469.470377
2014,11,Avalon,Sydney,Avalon - Sydney,98,123.2814259
2010,1,Brisbane,Canberra,Brisbane - Canberra,158,222.5609244
2020,5,Perth,Port Hedland,Perth - Port Hedland,365,427.854021
2015,12,Brisbane,Emerald,Brisbane - Emerald,245,303.0857934
2013,3,Adelaide,Perth,Adelaide - Perth,408,534.3046875
2023,3,Adelaide,Melbourne,Adelaide - Melbourne,329,332.7217195
2015,6,Perth,Port Hedland,Perth - Port Hedland,630,785.8883721
2022,11,Broome,Perth,Broome - Perth,514.01,526.9781422
2020,2,Melbourne,Sydney,Melbourne - Sydney,163,187.4639794
2022,7,Hobart,Melbourne,Hobart - Melbourne,132,137.8598131
2017,3,Albury,Sydney,Albury - Sydney,258,313.1022624
2016,5,Brisbane,Mackay,Brisbane - Mackay,168,207.4475138
2023,5,Brisbane,Melbourne,Brisbane - Melbourne,218,218
2013,3,Launceston,Melbourne,Launceston - Melbourne,108,141.4335938
2022,4,Cairns,Sydney,Cairns - Sydney,178,189.2926249
2018,3,Sydney,Tamworth,Sydney - Tamworth,344,409.6838366
2016,8,Albury,Sydney,Albury - Sydney,250,306.4442413
2022,2,Melbourne,Townsville,Melbourne - Townsville,270,292.2276029
2019,7,Dubbo,Sydney,Dubbo - Sydney,433,503.1655113
2019,3,Alice Springs,Darwin,Alice Springs - Darwin,650,763.9351446
2018,6,Melbourne,Perth,Melbourne - Perth,463,549.4539823
2016,5,Hobart,Melbourne,Hobart - Melbourne,110,135.8287293
2021,3,Cairns,Sydney,Cairns - Sydney,340,386.7175573
2019,10,Coffs Harbour,Sydney,Coffs Harbour - Sydney,114.9,132.5997418
2017,11,Brisbane,Perth,Brisbane - Perth,599,716.5557538
2012,2,Hamilton Island,Sydney,Hamilton Island - Sydney,338,453.7117117
2017,11,Hamilton Island,Sydney,Hamilton Island - Sydney,274,327.7734166
2011,7,Cairns,Sydney,Cairns - Sydney,338,454.1663327
2013,5,Brisbane,Mount Isa,Brisbane - Mount Isa,638,832.2548638
2013,3,Melbourne,Mildura,Melbourne - Mildura,243,318.2255859
2022,1,Bundaberg,Brisbane,Bundaberg - Brisbane,344,372.3196126
2014,9,Adelaide,Melbourne,Adelaide - Melbourne,158,199.1334586
2013,1,Albury,Sydney,Albury - Sydney,210,275.0097656
2022,1,Ayers Rock,Sydney,Ayers Rock - Sydney,222,240.2760291
2017,8,Adelaide,Sydney,Adelaide - Sydney,118,142.0448833
2012,12,Perth,Newman,Perth - Newman,554,728.3470588
2017,5,Devonport,Melbourne,Devonport - Melbourne,330,399.7560976
2023,2,Canberra,Melbourne,Canberra - Melbourne,285,288.2239819
2022,8,Brisbane,Mount Isa,Brisbane - Mount Isa,729,761.3621495
2016,12,Albury,Sydney,Albury - Sydney,307.69,375.1020818
2010,1,Bundaberg,Brisbane,Bundaberg - Brisbane,224,315.5294118
2022,7,Port Macquarie,Sydney,Port Macquarie - Sydney,303.45,316.9209112
2016,5,Brisbane,Mount Isa,Brisbane - Mount Isa,578,713.718232
2019,12,Melbourne,Townsville,Melbourne - Townsville,497,573.560241
2011,1,Ayers Rock,Cairns,Ayers Rock - Cairns,771,1051.791455
2019,5,Melbourne,Mildura,Melbourne - Mildura,256,299.0383275
2021,4,Brisbane,Sydney,Brisbane - Sydney,140,158.030303
2023,1,Adelaide,Brisbane,Adelaide - Brisbane,397,401.4909502
2014,1,Brisbane,Newcastle,Brisbane - Newcastle,118,150.1309298
2013,4,Brisbane,Perth,Brisbane - Perth,418,545.270428
2017,6,Brisbane,Newcastle,Brisbane - Newcastle,128,155.0569106
2022,9,Canberra,Sydney,Canberra - Sydney,398,415.6682243
2016,8,Perth,Sydney,Perth - Sydney,328,402.0548446
2022,5,Broome,Perth,Broome - Perth,458,487.0563045
2022,9,Cairns,Sydney,Cairns - Sydney,580,605.7476636
2022,6,Launceston,Sydney,Launceston - Sydney,132,140.3743061
2019,12,Brisbane,Gladstone,Brisbane - Gladstone,198,228.5008606
2017,1,Sydney,Wagga Wagga,Sydney - Wagga Wagga,297.09,360.5408959
2011,4,Melbourne,Mildura,Melbourne - Mildura,217.67,294.2494657
2016,8,Launceston,Melbourne,Launceston - Melbourne,130,159.3510055
2022,9,Avalon,Sydney,Avalon - Sydney,154,160.8364486
2018,7,Adelaide,Gold Coast,Adelaide - Gold Coast,285,336.7268722
2021,11,Melbourne,Perth,Melbourne - Perth,470.01,519.6070981
2019,10,Broome,Perth,Broome - Perth,518,597.7951807
2023,1,Bundaberg,Brisbane,Bundaberg - Brisbane,403,407.5588235
2010,11,Alice Springs,Sydney,Alice Springs - Sydney,543,751.4582043
2017,11,Kalgoorlie,Perth,Kalgoorlie - Perth,510,610.0892061
2017,6,Karratha,Perth,Karratha - Perth,548,663.8373984
2013,11,Brisbane,Melbourne,Brisbane - Melbourne,169.9,217.4006679
2016,1,Darwin,Sydney,Darwin - Sydney,360,446.1737523
2014,4,Broome,Perth,Broome - Perth,568,719.2521246
2010,12,Perth,Port Hedland,Perth - Port Hedland,378,523.1145511
2010,6,Ayers Rock,Sydney,Ayers Rock - Sydney,714,999.4509395
2017,11,Avalon,Sydney,Avalon - Sydney,98,117.2328278
2017,7,Cairns,Gold Coast,Cairns - Gold Coast,234,281.6822262
2015,9,Melbourne,Newcastle,Melbourne - Newcastle,154,191.2166667
2020,7,Darwin,Perth,Darwin - Perth,598,690.1187608
2012,8,Brisbane,Canberra,Brisbane - Canberra,298,392.5520629
2016,8,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,230.4460695
2019,5,Kalgoorlie,Perth,Kalgoorlie - Perth,458,534.9982578
2023,5,Perth,Newman,Perth - Newman,750,750
2018,10,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,404,474.8150745
2018,3,Brisbane,Rockhampton,Brisbane - Rockhampton,360,428.7388988
2020,8,Dubbo,Sydney,Dubbo - Sydney,308.54,356.0689673
2019,1,Darwin,Sydney,Darwin - Sydney,293,344.3584575
2022,11,Kalgoorlie,Perth,Kalgoorlie - Perth,868,889.8990826
2015,12,Sydney,Townsville,Sydney - Townsville,278,343.9095941
2018,5,Darwin,Perth,Darwin - Perth,929.82,1103.441257
2013,5,Adelaide,Perth,Adelaide - Perth,238,310.4649805
2015,12,Cairns,Melbourne,Cairns - Melbourne,224,277.1070111
2012,6,Darwin,Melbourne,Darwin - Melbourne,498,665.1573705
2021,3,Melbourne,Perth,Melbourne - Perth,398,452.6870229
2010,11,Brisbane,Newcastle,Brisbane - Newcastle,118,163.3003096
2022,10,Sydney,Wagga Wagga,Sydney - Wagga Wagga,364,373.1834862
2019,2,Brisbane,Mackay,Brisbane - Mackay,181,212.7265557
2015,10,Darwin,Sydney,Darwin - Sydney,493,609.8828413
2022,3,Adelaide,Darwin,Adelaide - Darwin,308,333.3559322
2014,2,Avalon,Sydney,Avalon - Sydney,84,106.8728653
2012,11,Launceston,Sydney,Launceston - Sydney,188,247.1647059
2013,2,Sydney,Townsville,Sydney - Townsville,250,327.3925781
2016,4,Dubbo,Sydney,Dubbo - Sydney,264,325.9889503
2014,12,Ballina,Sydney,Ballina - Sydney,130,163.5365854
2012,3,Broome,Perth,Broome - Perth,488,655.0630631
2010,4,Canberra,Melbourne,Canberra - Melbourne,57,79.78810021
2013,10,Melbourne,Mildura,Melbourne - Mildura,236,301.980916
2010,5,Paraburdoo,Perth,Paraburdoo - Perth,409,572.5146138
2018,2,Avalon,Sydney,Avalon - Sydney,128,152.4404973
2011,1,Cairns,Melbourne,Cairns - Melbourne,174.2,237.642116
2022,7,Adelaide,Gold Coast,Adelaide - Gold Coast,394,411.4906542
2015,2,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,270,339.0168539
2017,8,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,410,493.545781
2018,8,Melbourne,Gold Coast,Melbourne - Gold Coast,178.9,211.3699559
2020,5,Brisbane,Emerald,Brisbane - Emerald,414,485.291958
